Career (Small List),Exact Matched Careers
Gauger (Cement),Gauger (Cement)
Grading Machine Attendant (Abrasive),Grading Machine Attendant (Abrasive)
Levelling Machine Attendant (Match),Levelling Machine Attendant (Match)
Mixing Machine Attendant (Chemical),Mixing Machine Attendant (Chemical)
"Moulder, Hand (Plastic)","Moulder, Hand (Plastic)"
"Optical Examiner, Ampoules","Optical Examiner, Ampoules"
Pencil Maker,Pencil Maker
"Sieving Machine Attendant, Chemical","Sieving Machine Attendant, Chemical"
Soap Machine Attendant,Soap Machine Attendant
Splint Drying Chamberman (Match industry),Splint Drying Chamberman (Match industry)
Splint Feeder (Match Industry),Splint Feeder (Match Industry)
"Strainer, Liquid","Strainer, Liquid"
"Bottle Washer, Machine","Bottle Washer, Machine"
Candy Maker,Candy Maker
"Cane Carrier Driver, Mill House","Cane Carrier Driver, Mill House"
Carbonation Storage Tank Attendant,Carbonation Storage Tank Attendant
Carbonator Machine Attendant,Carbonator Machine Attendant
Char-Dust Cleaner and Salvager,Char-Dust Cleaner and Salvager
Cutting Machine Operator (Confectionery),Cutting Machine Operator (Confectionery)
"Filler, Aerated Water","Filler, Aerated Water"
"Filler, Aerated Water, Hand Machine","Filler, Aerated Water, Hand Machine"
Juice Heater Man,Juice Heater Man
Mixing Machine Attendant,Mixing Machine Attendant
Mixing Tank Operator,Mixing Tank Operator
Noodle Press Operator,Noodle Press Operator
"Plate Worker, Confectionery","Plate Worker, Confectionery"
Siever Machine Operator,Siever Machine Operator
Wafer Baking Machine Operator,Wafer Baking Machine Operator
Washing Machine Attendant,Washing Machine Attendant
Abrasive Mixer,Abrasive Mixer
Abrasive Wheel Moulder,Abrasive Wheel Moulder
Glass Bender,Glass Bender
Blower Helper (Glass),Blower Helper (Glass)
"Blower, Laboratory Apparatus","Blower, Laboratory Apparatus"
"Bricks and Tile Moulder, Hand","Bricks and Tile Moulder, Hand"
Glass Calibrator,Glass Calibrator
"Crusher Attendant, Stone","Crusher Attendant, Stone"
"Cutter, Glass Bangles","Cutter, Glass Bangles"
Drawer (Glass),Drawer (Glass)
Edge Finisher (Glass),Edge Finisher (Glass)
Edger (Optical Glass),Edger (Optical Glass)
"Extruding Press Operator, Clay","Extruding Press Operator, Clay"
Furnace Helper,Furnace Helper
"Furnaceman, Glass/ Furnace Operator","Furnaceman, Glass/ Furnace Operator"
Glass Gatherer,Glass Gatherer
Glass Cutter,Glass Cutter
Glass Manufacturing Machine Operator,Glass Manufacturing Machine Operator
Granulator Attendant (Cement),Granulator Attendant (Cement)
Grinder (Stone and Clay),Grinder (Stone and Clay)
"Joiner, Glass Bangles","Joiner, Glass Bangles"
"Kiln Loader, Brick and Tile","Kiln Loader, Brick and Tile"
"Kiln Loader, Pottery and Porcelain","Kiln Loader, Pottery and Porcelain"
"Kilnman, Brick and Tile","Kilnman, Brick and Tile"
"Kilnman, Pottery and Porcelain","Kilnman, Pottery and Porcelain"
Lamp Shade Maker,Lamp Shade Maker
Mirror Silverer,Mirror Silverer
"Mould Maker, Pottery and Porcelain","Mould Maker, Pottery and Porcelain"
"Moulder, Hand (Ceramics)","Moulder, Hand (Ceramics)"
Pressman (Ceramics),Pressman (Ceramics)
Pug Mill Operator (Ceramics),Pug Mill Operator (Ceramics)
Rollerman (Glass),Rollerman (Glass)
Shaving Machine Operator (Abrasive),Shaving Machine Operator (Abrasive)
Slip Maker (Ceramics),Slip Maker (Ceramics)
"Sorter, Glass Products","Sorter, Glass Products"
Tube and Rod Drawer (Glass),Tube and Rod Drawer (Glass)
Turner Pottery and Porcelain,Turner Pottery and Porcelain
Wet Disk Operator (Abrasive),Wet Disk Operator (Abrasive)
Wheel Grinder (Glass),Wheel Grinder (Glass)
Abrasion Machine Operator,Abrasion Machine Operator
Acid Cleaner,Acid Cleaner
Agarbatti Packer,Agarbatti Packer
Agarbatti Perfume Applicator,Agarbatti Perfume Applicator
Artisan,Artisan
Assembler (Clock &amp; Watch),Assembler (Clock &amp; Watch)
Ball Maker,Ball Maker
Broom Maker,Broom Maker
"Brush Maker, Hand","Brush Maker, Hand"
Brush Material Preparer,Brush Material Preparer
Brushing Operator,Brushing Operator
Candle Maker,Candle Maker
Candle Moulder,Candle Moulder
"Carpet Clipper, Hand","Carpet Clipper, Hand"
Carpet Embosser,Carpet Embosser
Carpet Final Inspector,Carpet Final Inspector
Carpet Repairer,Carpet Repairer
Carpet Weaver,Carpet Weaver
"Carpet Weaver, Hand Knitting","Carpet Weaver, Hand Knitting"
Checker (Ceramics),Checker (Ceramics)
Clipper &amp; Embosser,Clipper &amp; Embosser
Crochet Lace Maker - Apparel,Crochet Lace Maker - Apparel
Crochet Lace Tailor,Crochet Lace Tailor
"Crochet Worker, Hand","Crochet Worker, Hand"
Cutting Operator,Cutting Operator
Drill Machine Operator - Stonecraft,Drill Machine Operator - Stonecraft
Etching Machine Operator,Etching Machine Operator
Filing Artisan,Filing Artisan
Glass Enameller,Glass Enameller
Glass Etcher,Glass Etcher
"Glazer, Pottery and Porcelain","Glazer, Pottery and Porcelain"
Handloom Weaver,Handloom Weaver
Horn Comb Maker (Hand),Horn Comb Maker (Hand)
Jigger Operator (Ceramics),Jigger Operator (Ceramics)
Lacquerer,Lacquerer
Laminator,Laminator
Latexing Specialist,Latexing Specialist
Layer Oven Operator,Layer Oven Operator
Mixing Machine Operator (Glassware),Mixing Machine Operator (Glassware)
Painter (Metalware),Painter (Metalware)
Pedal-Operated MC Agarbatti Maker,Pedal-Operated MC Agarbatti Maker
Picture Frame Maker,Picture Frame Maker
"Pith Worker, Wood","Pith Worker, Wood"
Polisher,Polisher
Rubbing Operator,Rubbing Operator
Sakhta Saaz (Woodworker),Sakhta Saaz (Woodworker)
Sand Blaster (Glass),Sand Blaster (Glass)
Semi-Mechanized Bamboo Stick Maker,Semi-Mechanized Bamboo Stick Maker
"Sorter, Brick and Tile","Sorter, Brick and Tile"
Spray Painter (Ceramics),Spray Painter (Ceramics)
"Toy Maker, Wood","Toy Maker, Wood"
Watch Repairer,Watch Repairer
Wood Lacquerer,Wood Lacquerer
Yarn Opener,Yarn Opener
Hydro Extractor Operator,Hydro Extractor Operator
Battery Operator,Battery Operator
Casting Machine Operator (Non-Ferrous Metal),Casting Machine Operator (Non-Ferrous Metal)
Casting-Operator Helper (Nonferrous Metal),Casting-Operator Helper (Nonferrous Metal)
Centrifugal Casting Machine Operator,Centrifugal Casting Machine Operator
"Charger, Reverberatory, Pulverised Coal Fired/Reverberatory Furnace Operator","Charger, Reverberatory, Pulverised Coal Fired/Reverberatory Furnace Operator"
Clicker Press Operator (Abrasive),Clicker Press Operator (Abrasive)
"Core Maker, Machine","Core Maker, Machine"
Die Casting Machine Operator,Die Casting Machine Operator
Flattening Machine and Flying Shear Operator (Non- Ferrous Metal),Flattening Machine and Flying Shear Operator (Non- Ferrous Metal)
Furnace Operator (Nonferrous Metal),Furnace Operator (Nonferrous Metal)
"Furnace Operator, Open Hearth","Furnace Operator, Open Hearth"
"Furnace Operator, Second Hand, Open Hearth","Furnace Operator, Second Hand, Open Hearth"
Iron &amp; Steel Dumper Operator,Iron &amp; Steel Dumper Operator
Iron &amp; Steel Plasma Cutter: Manual,Iron &amp; Steel Plasma Cutter: Manual
"Looper, Metal Drawing","Looper, Metal Drawing"
Manual Packaging and Marking Operator,Manual Packaging and Marking Operator
"Melter Reverberatory -Furnace, Pulverised Coal Fired / Reverberatory Furnace Operator","Melter Reverberatory -Furnace, Pulverised Coal Fired / Reverberatory Furnace Operator"
"Sample Checker, Metal Making","Sample Checker, Metal Making"
Sheet Cutter (Abrasive),Sheet Cutter (Abrasive)
Shot Blaster,Shot Blaster
Slag Flusher,Slag Flusher
Slitting Machine Operator (Abrasive),Slitting Machine Operator (Abrasive)
Spun Pipe Operator,Spun Pipe Operator
Stoking Car Operator Ferro Alloys,Stoking Car Operator Ferro Alloys
Metal Temperer,Metal Temperer
Utility Hand,Utility Hand
Brass Musical Instruments Assembler,Brass Musical Instruments Assembler
Clarinet Assembler,Clarinet Assembler
Harmonium Finisher,Harmonium Finisher
Harmonium Fitter,Harmonium Fitter
Harmonium Key Maker,Harmonium Key Maker
Harmonium Maker,Harmonium Maker
Lens Centerer and Edger (Optical Glass),Lens Centerer and Edger (Optical Glass)
Lens Grinder,Lens Grinder
Lens Polisher (Optical),Lens Polisher (Optical)
Abrasive Coated Cloth and Paper Maker,Abrasive Coated Cloth and Paper Maker
"Agitator, Paper Pulp","Agitator, Paper Pulp"
Belt Press Operator (Abrasive),Belt Press Operator (Abrasive)
Calenderman,Calenderman
Cardboard Box Maker,Cardboard Box Maker
Cellophane Bag Maker (Machine),Cellophane Bag Maker (Machine)
"Chipperman, Paper Pulp","Chipperman, Paper Pulp"
Paper Cutter,Paper Cutter
"Cutter, Paper Pulp","Cutter, Paper Pulp"
"Drier, Hand Made Paper","Drier, Hand Made Paper"
Envelope Machine Operator,Envelope Machine Operator
"Finisher, Paper","Finisher, Paper"
"Grinder, Paper Pulp","Grinder, Paper Pulp"
Paper Board Maker,Paper Board Maker
Photographic Film and Paper Maker,Photographic Film and Paper Maker
Roll Winding Machine Operator (Abrasive),Roll Winding Machine Operator (Abrasive)
Skiving Machine Operator (Abrasive),Skiving Machine Operator (Abrasive)
"Sorter, Paper Pulp","Sorter, Paper Pulp"
Addressing Machine Operator,Addressing Machine Operator
Book Binder,Book Binder
Book Binding Operative,Book Binding Operative
Book Binding Worker,Book Binding Worker
Braille Duplicating Machine Operator,Braille Duplicating Machine Operator
Composing Room Operative,Composing Room Operative
"Developer, Automatic (Photofinishing)","Developer, Automatic (Photofinishing)"
Duplicating Machine Operator / Photocopier,Duplicating Machine Operator / Photocopier
Electrotyper,Electrotyper
Embossing Machine Operator,Embossing Machine Operator
Embossing Machine Operator (Plastic),Embossing Machine Operator (Plastic)
Embossing Machine Setter (Plastic),Embossing Machine Setter (Plastic)
Etcher Photo Engraver,Etcher Photo Engraver
Job Printer,Job Printer
Lino Operator,Lino Operator
Linoleum Maker,Linoleum Maker
Map and Chart Mounter,Map and Chart Mounter
Photostat Camera Operator/Photocopier Operator,Photostat Camera Operator/Photocopier Operator
"Pressman (Flat-Bed, Letter Press)","Pressman (Flat-Bed, Letter Press)"
Printing Jobber,Printing Jobber
Roller Maker,Roller Maker
Photomechanical Transferor,Photomechanical Transferor
Type Caster,Type Caster
Autoclave Operator,Autoclave Operator
Autoclave Operator - Reclaim Rubber,Autoclave Operator - Reclaim Rubber
Bicycle/Rickshaw Tyre Building Operator Monoband,Bicycle/Rickshaw Tyre Building Operator Monoband
Bladder Curing Operator,Bladder Curing Operator
Building Operator Rubber Roller,Building Operator Rubber Roller
Calendar Machine Operator,Calendar Machine Operator
Coagulant Bath Operator,Coagulant Bath Operator
Cord Dipping Operator,Cord Dipping Operator
Cracker Operator,Cracker Operator
Emulsion Maker,Emulsion Maker
Final Inspection Operator (Retreaded Tyre),Final Inspection Operator (Retreaded Tyre)
Finishing Operator (Latex),Finishing Operator (Latex)
Finishing Operator (Tyre),Finishing Operator (Tyre)
Foam Wrapping Operator,Foam Wrapping Operator
General Worker,General Worker
General Worker (RSS Trading),General Worker (RSS Trading)
Grinding Operator,Grinding Operator
Hose Maker (Rubber Goods),Hose Maker (Rubber Goods)
Kneader Operator,Kneader Operator
Latex Foam Cushion Maker,Latex Foam Cushion Maker
Latex Thread Extrusion Operator,Latex Thread Extrusion Operator
Latex Worker,Latex Worker
Mould Cleaning and Inspection Operator (Latex),Mould Cleaning and Inspection Operator (Latex)
Planetary Mixer Operator,Planetary Mixer Operator
Ply Cutting Operator,Ply Cutting Operator
Pre and Post Calendering Operator,Pre and Post Calendering Operator
Retreaded Tyre Curing Operator,Retreaded Tyre Curing Operator
Rubber Adhesive-Cement Mixing Operator,Rubber Adhesive-Cement Mixing Operator
Rubber Fabric Cutting Machine Operator,Rubber Fabric Cutting Machine Operator
Rubber Stamp Maker,Rubber Stamp Maker
Rubber/Bale Cutter,Rubber/Bale Cutter
"Solution and Dough Making Operator, Rubber","Solution and Dough Making Operator, Rubber"
Sorting-Packing Operator (Latex),Sorting-Packing Operator (Latex)
Stripping Unit Operator,Stripping Unit Operator
Synthetic Cord Dipping Operator,Synthetic Cord Dipping Operator
Tube Curing Operator,Tube Curing Operator
Tube Cutting Operator,Tube Cutting Operator
Tyre Builder,Tyre Builder
Tyre Building Operator - Commercial Vehicles,Tyre Building Operator - Commercial Vehicles
Tyre Building Operator - Passenger Vehicles,Tyre Building Operator - Passenger Vehicles
Tyre Casing Buffing Operator,Tyre Casing Buffing Operator
Tyre Casing Inspection Operator,Tyre Casing Inspection Operator
Tyre Moulder,Tyre Moulder
Tyre Pre Cure Preparation Operator,Tyre Pre Cure Preparation Operator
Tyre Tread Preparation and Building Operator,Tyre Tread Preparation and Building Operator
Weighing Operator,Weighing Operator
Automatic Shuttle Loom Operator,Automatic Shuttle Loom Operator
Balling-Machine Operator (Textile),Balling-Machine Operator (Textile)
Balloon Squeezer Machine Operator,Balloon Squeezer Machine Operator
"Batching Worker, Wool","Batching Worker, Wool"
"Braid Maker, Machine","Braid Maker, Machine"
"Breaker Feeder, Jute","Breaker Feeder, Jute"
Brushing Machineman (Textile),Brushing Machineman (Textile)
"Carboniser, Textile","Carboniser, Textile"
"Cardtenter, Cotton/Carding Tenter","Cardtenter, Cotton/Carding Tenter"
Comb Minder,Comb Minder
Combing Preparatory Operator,Combing Preparatory Operator
Combing Tenter,Combing Tenter
"Cutter, Fur","Cutter, Fur"
Damping Machine Attendant,Damping Machine Attendant
"Doffer, Fly Frame/ Speed Frame Operator","Doffer, Fly Frame/ Speed Frame Operator"
Spinning/Ring Spinning Doffer,Spinning/Ring Spinning Doffer
"Dry Cleaner, Hand","Dry Cleaner, Hand"
"Dry Cleaner, Machine","Dry Cleaner, Machine"
"Dry Cleaner, Spot","Dry Cleaner, Spot"
Dyeing Machine Operator,Dyeing Machine Operator
"Examiner, Dry Cleaning/ Fabric Inspection Operator","Examiner, Dry Cleaning/ Fabric Inspection Operator"
Felter (Woollen Textile),Felter (Woollen Textile)
"Finisher Feeder, Jute","Finisher Feeder, Jute"
"Flat Knitter, Machine / Knitting Machine Operator - Flat Knitting","Flat Knitter, Machine / Knitting Machine Operator - Flat Knitting"
Folding Machine Operator,"Folding Machine Operator, Folding Machine Operator"
Folding Machine Operator,"Folding Machine Operator, Folding Machine Operator"
"Hand Printer, Textile/ Hand Block Printer","Hand Printer, Textile/ Hand Block Printer"
Hand Spinner (Cotton and Woolen Textile),Hand Spinner (Cotton and Woolen Textile)
Healdman (Textile),Healdman (Textile)
Jiggerman (Cotton Textile)/Jigger Machine Operator,Jiggerman (Cotton Textile)/Jigger Machine Operator
"Knitter, Machine / Knitting Machine Operator","Knitter, Machine / Knitting Machine Operator"
Knitting Jobber,Knitting Jobber
Knitting Machine Fitter,Knitting Machine Fitter
"Knitting- Machine Operator, Automatic","Knitting- Machine Operator, Automatic"
"Knotter, Silk","Knotter, Silk"
Lace Maker (Machine),Lace Maker (Machine)
"Laundry Worker (Marker, Sorter)","Laundry Worker (Marker, Sorter)"
Hosiery Looper,Hosiery Looper
Open End Spinning Tenter,Open End Spinning Tenter
Package Dyeing Machine Operator,Package Dyeing Machine Operator
"Pattern Maker, Fur","Pattern Maker, Fur"
Pirn Winding Machine Operator,Pirn Winding Machine Operator
"Presser, Hand","Presser, Hand"
"Presser, Machine/Ironing Operator","Presser, Machine/Ironing Operator"
Printing Machine Operator,Printing Machine Operator
Rag Machineman (Woollen Textile),Rag Machineman (Woollen Textile)
"Reacher, Hand (Textile)","Reacher, Hand (Textile)"
"Reeler, Silk","Reeler, Silk"
Relax Dryer Operator,Relax Dryer Operator
Ring Frame Doffer,Ring Frame Doffer
"Scouring Man, Wool/Wool Washing and Scouring Operator","Scouring Man, Wool/Wool Washing and Scouring Operator"
"Scouringman, Woolen Yarn","Scouringman, Woolen Yarn"
Shuttle-less Loom Weaver - Projectile,Shuttle-less Loom Weaver - Projectile
Shuttle-less Loom Weaver - Rapier,Shuttle-less Loom Weaver - Rapier
Silk Screen Printer,Silk Screen Printer
Singeing &amp; Desizing Machine Operator,Singeing &amp; Desizing Machine Operator
Singeing Machineman/Singeing Machine Operator,Singeing Machineman/Singeing Machine Operator
Sliver-Lap- Man/Combing Preparatory Operator,Sliver-Lap- Man/Combing Preparatory Operator
"Sock Knitter, Automatic Machine","Sock Knitter, Automatic Machine"
Sock Knitter/Knitting Machine Operator - Socks Knitting,Sock Knitter/Knitting Machine Operator - Socks Knitting
Speed Frame Operator - Tenter and Doffer,Speed Frame Operator - Tenter and Doffer
Spot Remover,Spot Remover
TFO Tenter,TFO Tenter
Warp Knitter/Knitting Machine Operator - Warp Knitter,Warp Knitter/Knitting Machine Operator - Warp Knitter
Warping Boy (Textile)/Warper,Warping Boy (Textile)/Warper
Washing Machine Operator,"Washing Machine Operator, Washing Machine Operator"
Washing Machine Technician,Washing Machine Technician
"Waterproofer, Textile","Waterproofer, Textile"
Power Loom Weaver,Power Loom Weaver
"Weaver, Handloom","Weaver, Handloom"
"Weaver, Lace (Machine)","Weaver, Lace (Machine)"
Silk Weighter,Silk Weighter
Yarn Tester,Yarn Tester
Cigar or Cheroot Roller,Cigar or Cheroot Roller
Cigar or Cheroot Roller Helper,Cigar or Cheroot Roller Helper
Cigarette Making Machine Operator,Cigarette Making Machine Operator
"Cutting Machine Operator, Tobacco","Cutting Machine Operator, Tobacco"
Incinerator Operator,Incinerator Operator
Band Saw Operator,Band Saw Operator
"Caulker, Boat Building","Caulker, Boat Building"
Cooper,Cooper
Fret Saw Machine Operator,Fret Saw Machine Operator
Grader (Wood Working),Grader (Wood Working)
"Inlayer, Wood","Inlayer, Wood"
"Kiln Operator, Wood","Kiln Operator, Wood"
Peeling Machine Operator,Peeling Machine Operator
Wood Router Operator,Wood Router Operator
Sander Operator,Sander Operator
Tennoning Machine Operator,Tennoning Machine Operator
Veneer Cutter,Veneer Cutter
Wood Bender,Wood Bender
"Wood Carver, Machine","Wood Carver, Machine"
Wood Marker,Wood Marker
Wood Polisher,Wood Polisher
"Wood Sawyer, Edger","Wood Sawyer, Edger"
Hand Wood Sawyer,Hand Wood Sawyer
Wood Treater,Wood Treater
"Wood Turner, Machine","Wood Turner, Machine"
Wood Wool Machine Operator,Wood Wool Machine Operator
Wood Turner Hand,Wood Turner Hand
Compactor Operator,Compactor Operator
Scrapper Operator,Scrapper Operator
Tent Cutter,Tent Cutter
Umbrella Examiner,Umbrella Examiner
Boiler Tindal,"Boiler Tindal, Boiler Tindal"
CNC Setter cum Operator-Turning,"CNC Setter cum Operator-Turning, CNC Setter cum Operator-Turning"
Setter cum Operator - Non-Conventional Electric Discharge (Spark Erosion),"Setter cum Operator - Non-Conventional Electric Discharge (Spark Erosion), Setter cum Operator - Non-Conventional Electric Discharge (Spark Erosion)"
Slotter,"Slotter, Slotter"
Boiler Tindal,"Boiler Tindal, Boiler Tindal"
CNC Setter cum Operator-Turning,"CNC Setter cum Operator-Turning, CNC Setter cum Operator-Turning"
Hammerman,Hammerman
Honer,Honer
Lapper,Lapper
Planer Edge,Planer Edge
Setter cum Operator - Non-Conventional Electric Discharge (Spark Erosion),"Setter cum Operator - Non-Conventional Electric Discharge (Spark Erosion), Setter cum Operator - Non-Conventional Electric Discharge (Spark Erosion)"
Shaper,"Shaper, Shaper"
Slotter,"Slotter, Slotter"
Plain Tabler,Plain Tabler
Whitewasher,Whitewasher
Auto-Tester Capacitor,Auto-Tester Capacitor
Manual Insertion Operator,Manual Insertion Operator
Television Chassis Inspector,Television Chassis Inspector
Diamond Bagger and Flueter,Diamond Bagger and Flueter
Rough Assorter,Rough Assorter
Rough Marker,Rough Marker
Setter,Setter
Sorter,"Sorter, Sorter"
Weighing Person,Weighing Person
Chiropodist,Chiropodist
"Flesher, Hand","Flesher, Hand"
Laser Hand,Laser Hand
"Skiver, Hand","Skiver, Hand"
"Sole Leveller, Machine","Sole Leveller, Machine"
Hand Staker,Hand Staker
"Knife Dresser, Mica","Knife Dresser, Mica"
Rock Slicer,Rock Slicer
"Screener, Mica","Screener, Mica"
Compounding Man (Match),Compounding Man (Match)
M.B. Tester,M.B. Tester
Carbonation Man,Carbonation Man
Centrifugal Man,Centrifugal Man
Separator Man,Separator Man
Burner Cement,Burner Cement
Cooling Man (Glass),Cooling Man (Glass)
Binder,Binder
Piercer &amp; Matcher,Piercer &amp; Matcher
Furnace Operator - Pulverised Coal Fired,Furnace Operator - Pulverised Coal Fired
Mixerman,Mixerman
Shirestedar,Shirestedar
Wireboy,Wireboy
Building Operator V Belt for Transmission,Building Operator V Belt for Transmission
Calenderer Rubberised Fabric,Calenderer Rubberised Fabric
Cycle Tube Reverser,Cycle Tube Reverser
Tube Mandrelling Operator,Tube Mandrelling Operator
Dress Diver Watch,Dress Diver Watch
Card Cutter,Card Cutter
Crabbing Machineman (Woollen Textile),Crabbing Machineman (Woollen Textile)
Drawing Tenter,Drawing Tenter
Dyed-Yarn Operator,Dyed-Yarn Operator
Dyestuff &amp; Chemical Preparation Operator,Dyestuff &amp; Chemical Preparation Operator
Gill Box Man,Gill Box Man
Lattice Pegger,Lattice Pegger
Piecer,Piecer
Pin Setter (Textile),Pin Setter (Textile)
"Scutcherman, Bleaching","Scutcherman, Bleaching"
Twister,Twister
Warper,Warper
Bidi Checker,Bidi Checker
Stingy Cigarette Slitting Machine Operator,Stingy Cigarette Slitting Machine Operator
"Core Layer, Plywood","Core Layer, Plywood"
Four Cutter,Four Cutter
"Impregnator, Wood","Impregnator, Wood"
Digital Marketing Manager,Digital Marketing Manager
Marketing &amp; Social Media Manager,Marketing &amp; Social Media Manager
Marketing Manager – Line of Business,Marketing Manager – Line of Business
Product Brand Manager,Product Brand Manager
Regional Service Marketing Manager,Regional Service Marketing Manager
Brand Manager,Brand Manager
Fashion Manager,Fashion Manager
"Manager, Advertising and Promotion","Manager, Advertising and Promotion"
Market Research Analyst,Market Research Analyst
Merchandiser,"Merchandiser, Merchandiser, Merchandiser"
Accessories and VAS Sales Executive,Accessories and VAS Sales Executive
Sales Consultant (Retail) Level 5,Sales Consultant (Retail) Level 5
Sales Consultant Level 4,Sales Consultant Level 4
Sales Representative,Sales Representative
Merchandiser,"Merchandiser, Merchandiser, Merchandiser"
Advertising Operations Coordinator (Digital),Advertising Operations Coordinator (Digital)
Public Relations Officer,Public Relations Officer
Advertising Sales Agent,Advertising Sales Agent
Salesman,Salesman
Selling Agent,Selling Agent
Territory Sales Manager (BroadBand),Territory Sales Manager (BroadBand)
Merchandiser,"Merchandiser, Merchandiser, Merchandiser"
Account Executive (Advertising Agency),Account Executive (Advertising Agency)
"Canvasser, Sales","Canvasser, Sales"
Telemarketing Sales Person,Telemarketing Sales Person
In-Store Promoter,In-Store Promoter
Sales Executive (Broadband),Sales Executive (Broadband)
"Chemical Engineer, Fertilizers","Chemical Engineer, Fertilizers"
Climate Change &amp; Risk Mitigation Manager,Climate Change &amp; Risk Mitigation Manager
Automobile Engineer,Automobile Engineer
Process Design Engineer,Process Design Engineer
Product Conceptualization Engineer,Product Conceptualization Engineer
Product Design Engineer,Product Design Engineer
Prototyping Engineer,Prototyping Engineer
Test Engineer - Product/Vehicle,Test Engineer - Product/Vehicle
Operations Research Analyst,Operations Research Analyst
Statistician,Statistician
Statistician (Applied),Statistician (Applied)
Mechanical Engineer,"Mechanical Engineer, Mechanical Engineer"
Nuclear Engineer,"Nuclear Engineer, Nuclear Engineer"
Nuclear Plant Control Operator,"Nuclear Plant Control Operator, Nuclear Plant Control Operator"
Technical Instrumentation Engineer,Technical Instrumentation Engineer
Electrical Engineering Designer,Electrical Engineering Designer
Electrical Engineer,Electrical Engineer
Electrical Engineer (Generation and Supply),Electrical Engineer (Generation and Supply)
Industrial Engineer,Industrial Engineer
Instrument Engineer,Instrument Engineer
Mechanical Engineer,"Mechanical Engineer, Mechanical Engineer"
Radial Driller,"Radial Driller, Radial Driller"
Service Engineer-Installation and Commissioning,"Service Engineer-Installation and Commissioning, Service Engineer-Installation and Commissioning"
Naval Architect,Naval Architect
Marine Mechanical Engineer,Marine Mechanical Engineer
Design Engineer,Design Engineer
Design-for-Test Engineer,Design-for-Test Engineer
Electrical Design Engineer,Electrical Design Engineer
Electronics Engineer,Electronics Engineer
Electronic Hardware Design Engineer,Electronic Hardware Design Engineer
Electro-Optical Engineer,Electro-Optical Engineer
LED Light Design Engineer,LED Light Design Engineer
Physical Design Engineer,Physical Design Engineer
Solar Sales Executive,Solar Sales Executive
System Designer (PCB Design),System Designer (PCB Design)
Verification Engineer,Verification Engineer
Pharmaceutical Chemist,Pharmaceutical Chemist
"Metallurgist, Extractive","Metallurgist, Extractive"
Mining Engineer,"Mining Engineer, Mining Engineer"
Groundwater Engineer,Groundwater Engineer
Wastewater Systems Design Engineer,Wastewater Systems Design Engineer
Biomedical Engineer,Biomedical Engineer
Biological Chemist,Biological Chemist
Forensic Chemist,Forensic Chemist
"Chemist, General","Chemist, General"
Industrial Chemist,Industrial Chemist
Organic Chemist,Organic Chemist
Quality Control Chemist,Quality Control Chemist
Microwave Engineer – Telecommunication,Microwave Engineer – Telecommunication
Product Specialist Engineer,Product Specialist Engineer
Telecommunication Engineer,Telecommunication Engineer
Transmission Engineer,Transmission Engineer
"Engine Tester, Aircraft","Engine Tester, Aircraft"
Aeronautical Engineer,Aeronautical Engineer
Chemical Engineer,"Chemical Engineer, Chemical Engineer, Chemical Engineer"
Chemical Engineer,"Chemical Engineer, Chemical Engineer, Chemical Engineer"
Analytical Chemist,Analytical Chemist
Inorganic Chemist,Inorganic Chemist
Chemical Engineer,"Chemical Engineer, Chemical Engineer, Chemical Engineer"
Geophysicist,Geophysicist
Mathematician,Mathematician
Petrologist,Petrologist
"Physicist, Electronics","Physicist, Electronics"
Nuclear Physicist,Nuclear Physicist
Material Scientist,Material Scientist
"Chemical Engineer, Petroleum","Chemical Engineer, Petroleum"
"Geologist, Petroleum","Geologist, Petroleum"
Chemical Radiation Technician,Chemical Radiation Technician
Junior Engineer - Power Distribution,Junior Engineer - Power Distribution
"Physicist, Electricity and Magnetism","Physicist, Electricity and Magnetism"
Radiation Protection Engineer,Radiation Protection Engineer
Senior Power System Technician (Transmission),Senior Power System Technician (Transmission)
Lab Supervisor,Lab Supervisor
Manager Testing Facility Level 6,Manager Testing Facility Level 6
Test Technician,Test Technician
"Calibrator, Electrical","Calibrator, Electrical, Calibrator, Electrical"
"Turbine Operator, Hydel","Turbine Operator, Hydel, Turbine Operator, Hydel"
Mechanical Designer,Mechanical Designer
Draughtsman-Mechanical,Draughtsman-Mechanical
"Turbine Operator, Hydel","Turbine Operator, Hydel, Turbine Operator, Hydel"
Assistant Laboratory &amp; Field Technician,Assistant Laboratory &amp; Field Technician
Cartographer,Cartographer
Hydrographic Surveyor,Hydrographic Surveyor
Field Engineer-TV,Field Engineer-TV
Installation and Service Engineer,Installation and Service Engineer
"Radio Craftsman, Installation","Radio Craftsman, Installation"
"Radio Craftsman, Maintenance","Radio Craftsman, Maintenance"
Radio Technician,Radio Technician
Designer (CAD),Designer (CAD)
Spectrum Operator,"Spectrum Operator, Spectrum Operator"
Toxicologist,Toxicologist
"Laboratory Assistant, Geological","Laboratory Assistant, Geological"
Precipitator Engineer,Precipitator Engineer
"Slide Examiner, Petrology","Slide Examiner, Petrology"
Algologist,Algologist
Bacteriologist,Bacteriologist
Biologist,Biologist
Lab Technician/Assistant,Lab Technician/Assistant
"Laboratory Assistant, Zoological","Laboratory Assistant, Zoological"
Paleobotanist,Paleobotanist
Parasitologist,Parasitologist
Quality Assurance Chemist,Quality Assurance Chemist
Quality Control Chemist - Batch Release Testing,Quality Control Chemist - Batch Release Testing
